frame_number,test_1080p50-H264-10M.mp4,test_720p50-h264-10M.mp4
0,7.0,5
1,6.0,5
2,6.0,5
3,7.0,5
4,7.0,6
5,6.0,5
6,6.0,5
7,6.0,5
8,7.0,5
9,6.0,6
10,6.0,5
11,7.0,5
12,6.0,6
13,7.0,5
14,7.0,5
15,7.0,5
16,7.0,5
17,6.0,6
18,6.0,5
19,7.0,5
20,6.0,5
21,6.0,6
22,6.0,6
23,6.0,5
24,6.0,6
25,6.0,5
26,7.0,5
27,7.0,5
28,6.0,5
29,7.0,5
30,6.0,5
31,7.0,5
32,7.0,5
33,6.0,5
34,6.0,5
35,7.0,6
36,7.0,5
37,6.0,5
38,6.0,5
39,6.0,6
40,6.0,5
41,7.0,5
42,7.0,6
43,6.0,5
44,6.0,5
45,6.0,6
46,7.0,5
47,7.0,5
48,6.0,5
49,6.0,6
50,7.0,5
51,6.0,5
52,6.0,5
53,7.0,6
54,6.0,6
55,6.0,5
56,6.0,5
57,6.0,5
58,7.0,5
59,6.0,5
60,6.0,5
61,6.0,6
62,7.0,5
63,6.0,5
64,7.0,5
65,6.0,5
66,7.0,6
67,6.0,5
68,6.0,5
69,6.0,5
70,7.0,5
71,7.0,5
72,7.0,5
73,7.0,5
74,7.0,5
75,6.0,6
76,7.0,5
77,6.0,5
78,7.0,5
79,7.0,6
80,7.0,5
81,6.0,5
82,7.0,5
83,7.0,5
84,7.0,6
85,6.0,5
86,7.0,5
87,7.0,5
88,6.0,5
89,6.0,5
90,6.0,6
91,7.0,5
92,6.0,5
93,6.0,5
94,7.0,5
95,7.0,5
96,6.0,5
97,6.0,6
98,7.0,5
99,6.0,5
100,6.0,5
101,7.0,5
102,7.0,5
103,7.0,5
104,7.0,6
105,6.0,5
106,7.0,6
107,7.0,5
108,6.0,5
109,6.0,5
110,7.0,6
111,7.0,5
112,7.0,5
113,6.0,5
114,6.0,5
115,7.0,5
116,6.0,5
117,7.0,6
118,7.0,5
119,7.0,6
120,6.0,6
121,7.0,6
122,7.0,5
123,7.0,5
124,6.0,6
125,7.0,5
126,7.0,6
127,6.0,5
128,6.0,5
129,6.0,5
130,6.0,5
131,7.0,5
132,6.0,5
133,7.0,5
134,7.0,6
135,6.0,5
136,6.0,5
137,6.0,5
138,6.0,6
139,7.0,6
140,7.0,5
141,6.0,5
142,6.0,5
143,6.0,5
144,7.0,5
145,6.0,6
146,6.0,6
147,6.0,5
148,7.0,5
149,6.0,5
150,7.0,6
151,6.0,5
152,6.0,5
153,6.0,5
154,7.0,6
155,6.0,5
156,6.0,5
157,6.0,5
158,6.0,5
159,6.0,5
160,7.0,6
161,7.0,5
162,6.0,5
163,7.0,5
164,6.0,6
165,6.0,5
166,6.0,5
167,6.0,5
168,6.0,5
169,7.0,5
170,6.0,6
171,7.0,5
172,6.0,5
173,7.0,5
174,6.0,6
175,6.0,5
176,7.0,6
177,6.0,5
178,7.0,5
179,7.0,5
180,7.0,6
181,6.0,6
182,6.0,6
183,7.0,5
184,7.0,5
185,7.0,6
186,6.0,5
187,7.0,5
188,6.0,5
189,6.0,6
190,6.0,5
191,7.0,5
192,6.0,5
193,6.0,5
194,7.0,5
195,6.0,5
196,7.0,6
197,6.0,5
198,7.0,5
199,6.0,5
200,6.0,6
201,7.0,5
202,7.0,5
203,6.0,5
204,6.0,5
205,7.0,5
206,6.0,6
207,7.0,5
208,7.0,5
209,7.0,5
210,6.0,5
211,6.0,6
212,7.0,5
213,6.0,5
214,6.0,5
215,6.0,6
216,7.0,6
217,7.0,5
218,7.0,5
219,6.0,5
220,6.0,5
221,7.0,6
222,7.0,6
223,7.0,5
224,6.0,5
225,6.0,5
226,6.0,5
227,7.0,6
228,7.0,5
229,6.0,5
230,6.0,5
231,7.0,6
232,6.0,6
233,6.0,5
234,7.0,5
235,7.0,5
236,6.0,5
237,6.0,6
238,6.0,5
239,6.0,5
240,6.0,5
241,6.0,5
242,7.0,5
243,7.0,6
244,6.0,5
245,6.0,6
246,7.0,6
247,6.0,5
248,6.0,5
249,7.0,5
250,7.0,5
251,6.0,6
252,6.0,6
253,7.0,5
254,6.0,5
255,7.0,5
256,6.0,5
257,7.0,5
258,7.0,5
259,7.0,5
260,6.0,5
261,6.0,5
262,6.0,6
263,7.0,5
264,7.0,5
265,7.0,5
266,,5
267,,6
268,,5
269,,5
270,,5
271,,5
272,,6
273,,5
274,,5
275,,5
276,,5
277,,5
278,,6
279,,5
280,,5
281,,5
282,,6
283,,5
284,,5
285,,5
286,,5
287,,5
288,,5
289,,6
290,,5
291,,5
292,,6
293,,6
294,,5
295,,5
296,,5
297,,5
298,,5
299,,5
300,,6
301,,5
302,,5
303,,5
304,,6
305,,6
306,,6
307,,5
308,,5
309,,5
310,,6
311,,6
312,,5
313,,5
314,,6
315,,5
316,,5
317,,5
318,,5
319,,5
320,,6
321,,6
322,,5
323,,5
324,,5
325,,5
326,,5
327,,5
328,,5
329,,5
330,,5
331,,5
332,,6
333,,6
334,,6
335,,5
336,,5
337,,5
338,,6
339,,5
340,,5
341,,5
342,,6
343,,6
344,,5
345,,5
346,,5
347,,5
348,,5
349,,5
350,,5
351,,6
352,,6
353,,5
354,,5
355,,5
356,,5
357,,6
358,,5
359,,5
360,,5
361,,5
362,,6
363,,5
364,,5
365,,5
366,,5
367,,5
368,,6
369,,5
370,,5
371,,5
372,,5
373,,5
374,,6
375,,5
376,,5
377,,5
378,,5
379,,5
380,,6
381,,5
382,,6
383,,6
384,,6
385,,5
386,,5
387,,5
388,,6
389,,6
390,,5
391,,5
392,,5
393,,5
394,,5
395,,5
396,,5
397,,6
398,,5
399,,5
400,,6
401,,5
402,,5
403,,5
404,,5
405,,5
406,,5
407,,5
408,,5
409,,5
410,,6
411,,5
412,,5
413,,5
414,,6
415,,5
416,,5
417,,6
418,,6
419,,5
420,,5
421,,6
422,,6
423,,5
424,,5
425,,5
426,,6
427,,5
428,,5
429,,5
430,,5
431,,6
432,,6
433,,6
434,,5
435,,5
436,,6
437,,5
438,,5
439,,5
440,,5
